,Topic,Count,Name
357,282,11,282_end video_larry kudlow_video wallace_wallace right
356,83,11,83_brand congress_democrat pac_congress pac_congress llc
355,97,11,97_sex marriage_equality act_religious school_conversion therapy
345,191,11,191_rosario dawson_actress rosario_wonderful human_booker wonderful
353,327,11,327_job interview_bernie sander_run president_guy saperstein
352,103,11,103_child foster_struggle infertility_mother mom_baby heaven
351,120,11,120_camp pendleton_marine raider_marine corp_boot camp
350,216,11,216_county sheriff_jared polis_county colorado_gov jared
349,366,11,366_black voter_black democrat_handle racial_carolina democrat
348,129,11,129_welfare state_welfare system_generous welfare_nordic country
347,182,11,182_uc berkeley_zachary greenberg_hayden williams_berkeley campus
346,190,11,190_oregon district_nipsey hussle_dave chappelle_stevie wonder
362,332,10,332_donna brazile_chairwoman donna_brazile brazile_brazile add
363,345,10,345_total loser_leave republican_disenchant party_dumb disloyal
364,198,10,198_salt lake_raccoon appear_raccoon boat_animal cruelty
365,300,10,300_uber ride_david rowland_uber driver_car uber
366,149,10,149_compensation fund_victim compensation_grind zero_911 memorial
367,338,10,338_evidence collusion_house intelligence_bill kristol_unchallenged oath
368,320,10,320_serial killer_bobby joe_convict serial_28 life
369,165,10,165_birthright citizenship_birth tourism_citizenship immigration_citizenship birth
